Frame Count,Start Time(in ms),End Time(in ms),Execution Time(in ms),Jitter(in ms)
1,1596870475597.662109,1596870475677.496826,79.834717,-45.634766
2,1596870475751.596924,1596870475831.409912,79.812988,-53.934814
3,1596870475906.055420,1596870475985.882812,79.827393,-54.458496
4,1596870476060.167725,1596870476139.957520,79.789795,-54.112305
5,1596870476213.596436,1596870476293.282227,79.685791,-53.428711
6,1596870476366.520020,1596870476446.308838,79.788818,-52.923584
7,1596870476519.718262,1596870476599.434814,79.716553,-53.198242
8,1596870476673.024170,1596870476752.804688,79.780518,-53.305908
9,1596870476826.270508,1596870476906.000732,79.730225,-53.246338
10,1596870476979.301270,1596870477059.046875,79.745605,-53.030762
11,1596870477132.557617,1596870477213.339111,80.781494,-53.256348
12,1596870477289.270020,1596870477368.987305,79.717285,-56.712402
13,1596870477442.350098,1596870477522.139893,79.789795,-53.080078
14,1596870477595.668457,1596870477675.446777,79.778320,-53.318359
15,1596870477749.095459,1596870477828.816895,79.721436,-53.427002
16,1596870477902.503662,1596870477982.217529,79.713867,-53.408203
17,1596870478055.881836,1596870478135.676514,79.794678,-53.378174
18,1596870478209.100342,1596870478288.941895,79.841553,-53.218506
19,1596870478362.656982,1596870478442.392578,79.735596,-53.556641
20,1596870478515.732910,1596870478595.502930,79.770020,-53.075928
21,1596870478669.133301,1596870478748.913818,79.780518,-53.400391
22,1596870478822.700439,1596870478902.431641,79.731201,-53.567139
23,1596870478967.884521,1596870479047.627197,79.742676,-45.184082
24,1596870479129.048828,1596870479208.821777,79.772949,-61.164307
25,1596870479282.452881,1596870479362.126709,79.673828,-53.404053
26,1596870479435.418457,1596870479515.229248,79.810791,-52.965576
27,1596870479588.667969,1596870479668.430420,79.762451,-53.249512
28,1596870479742.325928,1596870479822.090576,79.764648,-53.657959
29,1596870479895.333984,1596870479975.190430,79.856445,-53.008057
30,1596870480048.991455,1596870480128.711426,79.719971,-53.657471
31,1596870480202.133301,1596870480285.130615,82.997314,-53.141846
32,1596870480357.162109,1596870480436.913574,79.751465,-55.028809
33,1596870480508.015137,1596870480587.860107,79.844971,-50.853027
34,1596870480659.109375,1596870480738.842773,79.733398,-51.094238
35,1596870480809.755371,1596870480889.584717,79.829346,-50.645996
36,1596870480960.314209,1596870481040.105957,79.791748,-50.558838
37,1596870481111.504150,1596870481191.439697,79.935547,-51.189941
38,1596870481262.408691,1596870481342.178955,79.770264,-50.904541
39,1596870481413.396240,1596870481493.191162,79.794922,-50.987549
40,1596870481564.331787,1596870481644.082764,79.750977,-50.935547
41,1596870481715.086426,1596870481794.844482,79.758057,-50.754639
42,1596870481866.030029,1596870481945.830811,79.800781,-50.943604
43,1596870482016.765869,1596870482096.497803,79.731934,-50.735840
44,1596870482167.444336,1596870482247.204834,79.760498,-50.678467
45,1596870482318.587646,1596870482398.322266,79.734619,-51.143311
46,1596870482469.189209,1596870482548.958252,79.769043,-50.601562
47,1596870482620.267090,1596870482700.043457,79.776367,-51.077881
48,1596870482771.426025,1596870482851.202637,79.776611,-51.158936
49,1596870482922.369873,1596870483002.096191,79.726318,-50.943848
50,1596870483072.936768,1596870483152.684082,79.747314,-50.566895
51,1596870483223.604492,1596870483305.344482,81.739990,-50.667725
52,1596870483378.112549,1596870483457.852295,79.739746,-54.508057
53,1596870483528.822754,1596870483608.635254,79.812500,-50.710205
54,1596870483679.488281,1596870483759.343018,79.854736,-50.665527
55,1596870483830.286865,1596870483910.119873,79.833008,-50.798584
56,1596870483981.505371,1596870484061.261475,79.756104,-51.218506
57,1596870484132.239258,1596870484211.991943,79.752686,-50.733887
58,1596870484283.123291,1596870484362.888916,79.765625,-50.884033
59,1596870484434.048828,1596870484513.736084,79.687256,-50.925537
60,1596870484585.131104,1596870484664.857178,79.726074,-51.082275
61,1596870484735.996338,1596870484815.741699,79.745361,-50.865234
62,1596870484887.677734,1596870484967.463135,79.785400,-51.681396
63,1596870485039.201416,1596870485118.990967,79.789551,-51.523682
64,1596870485190.083984,1596870485269.903564,79.819580,-50.882568
65,1596870485341.230469,1596870485420.956787,79.726318,-51.146484
66,1596870485491.904785,1596870485571.680664,79.775879,-50.674316
67,1596870485642.758545,1596870485722.506348,79.747803,-50.853760
68,1596870485793.597412,1596870485873.387695,79.790283,-50.838867
69,1596870485944.557617,1596870486024.333496,79.775879,-50.960205
70,1596870486095.417969,1596870486175.242188,79.824219,-50.860352
71,1596870486246.481201,1596870486328.186768,81.705566,-51.063232
72,1596870486401.033691,1596870486480.855469,79.821777,-54.552490
73,1596870486552.229004,1596870486632.021240,79.792236,-51.195312
74,1596870486703.524658,1596870486783.243408,79.718750,-51.295654
75,1596870486854.169678,1596870486933.987305,79.817627,-50.645020
76,1596870487005.237549,1596870487085.022461,79.784912,-51.067871
77,1596870487156.391846,1596870487236.141357,79.749512,-51.154297
78,1596870487307.271973,1596870487387.095947,79.823975,-50.880127
79,1596870487458.145996,1596870487537.954834,79.808838,-50.874023
80,1596870487609.114014,1596870487688.880859,79.766846,-50.968018
81,1596870487759.847656,1596870487839.625977,79.778320,-50.733643
82,1596870487910.435303,1596870487990.247314,79.812012,-50.587646
83,1596870488061.379639,1596870488141.194336,79.814697,-50.944336
84,1596870488212.170654,1596870488291.959717,79.789062,-50.791016
85,1596870488363.281494,1596870488443.075439,79.793945,-51.110840
86,1596870488514.229736,1596870488593.964600,79.734863,-50.948242
87,1596870488665.210205,1596870488744.980225,79.770020,-50.980469
88,1596870488816.050537,1596870488895.870361,79.819824,-50.840332
89,1596870488967.244873,1596870489047.067871,79.822998,-51.194336
90,1596870489118.258545,1596870489198.044434,79.785889,-51.013672
91,1596870489269.105225,1596870489351.199951,82.094727,-50.846680
92,1596870489423.974121,1596870489503.774170,79.800049,-54.868896
93,1596870489574.713135,1596870489654.496826,79.783691,-50.739014
94,1596870489725.715332,1596870489805.489990,79.774658,-51.002197
95,1596870489876.821045,1596870489956.568115,79.747070,-51.105713
96,1596870490027.854736,1596870490107.584717,79.729980,-51.033691
97,1596870490178.533203,1596870490258.371094,79.837891,-50.678467
98,1596870490329.516602,1596870490409.247803,79.731201,-50.983398
99,1596870490480.678955,1596870490560.371582,79.692627,-51.162354
100,1596870490631.790039,1596870490711.547119,79.757080,-51.111084
101,1596870490782.484375,1596870490862.260986,79.776611,-50.694336
102,1596870490933.489746,1596870491013.326660,79.836914,-51.005371
103,1596870491084.593994,1596870491164.363281,79.769287,-51.104248
104,1596870491235.214355,1596870491315.036621,79.822266,-50.620361
105,1596870491385.894287,1596870491465.691895,79.797607,-50.679932
106,1596870491536.664062,1596870491616.517334,79.853271,-50.769775
107,1596870491687.785645,1596870491767.485352,79.699707,-51.121582
108,1596870491838.909668,1596870491918.657471,79.747803,-51.124023
109,1596870491989.551025,1596870492069.391357,79.840332,-50.641357
110,1596870492140.810791,1596870492220.626709,79.815918,-51.259766
111,1596870492291.449219,1596870492372.688477,81.239258,-50.638428
112,1596870492445.695312,1596870492525.475830,79.780518,-54.246094
113,1596870492596.458252,1596870492676.259277,79.801025,-50.762939
114,1596870492747.755615,1596870492827.533691,79.778076,-51.297363
115,1596870492890.851074,1596870492970.666504,79.815430,-43.095459
116,1596870493049.600098,1596870493129.407471,79.807373,-58.749023
117,1596870493200.861084,1596870493280.580566,79.719482,-51.260986
118,1596870493351.367920,1596870493431.140869,79.772949,-50.506836
119,1596870493502.186768,1596870493581.975098,79.788330,-50.818848
120,1596870493652.907715,1596870493732.680908,79.773193,-50.720947
121,1596870493804.006348,1596870493883.812500,79.806152,-51.098633
122,1596870493951.184814,1596870494031.033447,79.848633,-47.178467
123,1596870494093.939941,1596870494173.729492,79.789551,-42.755127
124,1596870494398.574707,1596870494438.461670,39.886963,-204.634766
125,1596870494469.762695,1596870494509.742432,39.979736,28.812012
126,1596870494541.451416,1596870494581.425781,39.974365,28.311279
127,1596870494641.746582,1596870494681.675049,39.928467,-0.295166
128,1596870494742.101807,1596870494782.137207,40.035400,-0.355225
129,1596870494842.351318,1596870494882.326416,39.975098,-0.249512
130,1596870494942.627686,1596870494982.546875,39.919189,-0.276367
131,1596870495042.899414,1596870495082.858643,39.959229,-0.271729
132,1596870495143.170410,1596870495183.144043,39.973633,-0.270996
133,1596870495243.424561,1596870495283.336914,39.912354,-0.254150
134,1596870495343.725586,1596870495384.209961,40.484375,-0.301025
135,1596870495443.992920,1596870495483.941650,39.948730,-0.267334
136,1596870495544.280518,1596870495584.235596,39.955078,-0.287598
137,1596870495644.576416,1596870495684.676514,40.100098,-0.295898
138,1596870495744.863770,1596870495784.829834,39.966064,-0.287354
139,1596870495845.179932,1596870495885.175781,39.995850,-0.316162
140,1596870495945.524170,1596870495985.459229,39.935059,-0.344238
141,1596870496045.916748,1596870496085.886230,39.969482,-0.392578
142,1596870496146.223877,1596870496186.135498,39.911621,-0.307129
143,1596870496246.504150,1596870496286.437744,39.933594,-0.280273
144,1596870496346.774170,1596870496386.699707,39.925537,-0.270020
145,1596870496447.083984,1596870496486.999512,39.915527,-0.309814
146,1596870496547.355713,1596870496587.232666,39.876953,-0.271729
147,1596870496647.625488,1596870496687.567383,39.941895,-0.269775
148,1596870496747.833740,1596870496787.714355,39.880615,-0.208252
149,1596870496848.130859,1596870496888.111572,39.980713,-0.297119
150,1596870496948.504883,1596870496988.488037,39.983154,-0.374023
151,1596870497048.770996,1596870497088.714355,39.943359,-0.266113
152,1596870497149.220459,1596870497189.211670,39.991211,-0.449463
153,1596870497249.492920,1596870497289.451660,39.958740,-0.272461
154,1596870497349.754883,1596870497389.682617,39.927734,-0.261963
155,1596870497450.058350,1596870497489.958496,39.900146,-0.303467
156,1596870497550.282959,1596870497590.249268,39.966309,-0.224609
157,1596870497650.652100,1596870497690.580811,39.928711,-0.369141
158,1596870497750.904785,1596870497790.871338,39.966553,-0.252686
159,1596870497851.161377,1596870497891.083008,39.921631,-0.256592
160,1596870497951.424561,1596870497991.352295,39.927734,-0.263184
161,1596870498051.700928,1596870498091.641602,39.940674,-0.276367
162,1596870498151.949463,1596870498191.886230,39.936768,-0.248535
163,1596870498252.243896,1596870498292.214111,39.970215,-0.294434
164,1596870498352.482422,1596870498392.383789,39.901367,-0.238525
165,1596870498452.849854,1596870498492.923096,40.073242,-0.367432
166,1596870498553.165039,1596870498593.145508,39.980469,-0.315186
167,1596870498653.469971,1596870498693.393555,39.923584,-0.304932
168,1596870498753.772217,1596870498793.743652,39.971436,-0.302246
169,1596870498854.045410,1596870498893.993164,39.947754,-0.273193
170,1596870498954.319092,1596870498994.286133,39.967041,-0.273682
171,1596870499054.567383,1596870499094.393066,39.825684,-0.248291
172,1596870499154.842285,1596870499194.712158,39.869873,-0.274902
173,1596870499255.117188,1596870499294.969727,39.852539,-0.274902
174,1596870499355.402100,1596870499395.279541,39.877441,-0.284912
175,1596870499455.670166,1596870499495.515137,39.844971,-0.268066
176,1596870499555.964844,1596870499595.832275,39.867432,-0.294678
177,1596870499656.248047,1596870499696.115967,39.867920,-0.283203
178,1596870499756.531006,1596870499796.400635,39.869629,-0.282959
179,1596870499856.806641,1596870499896.664551,39.857910,-0.275635
180,1596870499957.089844,1596870499996.965332,39.875488,-0.283203
181,1596870500057.360352,1596870500097.311035,39.950684,-0.270508
182,1596870500188.368164,1596870500228.341797,39.973633,-31.007812
183,1596870500288.807861,1596870500328.797363,39.989502,-0.439697
184,1596870500389.077393,1596870500429.196289,40.118896,-0.269531
185,1596870500489.333984,1596870500529.320312,39.986328,-0.256592
186,1596870500589.872314,1596870500629.882324,40.010010,-0.538330
187,1596870500690.125244,1596870500730.039795,39.914551,-0.252930
188,1596870500790.678711,1596870500830.623779,39.945068,-0.553467
189,1596870500890.963379,1596870500930.918213,39.954834,-0.284668
190,1596870500991.230713,1596870501031.227295,39.996582,-0.267334
191,1596870501091.533936,1596870501131.506836,39.972900,-0.303223
192,1596870501191.794189,1596870501231.671143,39.876953,-0.260254
193,1596870501292.070801,1596870501331.960938,39.890137,-0.276611
194,1596870501392.345215,1596870501432.420898,40.075684,-0.274414
195,1596870501492.673584,1596870501532.728271,40.054688,-0.328369
196,1596870501593.002441,1596870501632.962646,39.960205,-0.328857
197,1596870501693.512451,1596870501733.506348,39.993896,-0.510010
198,1596870501793.770264,1596870501833.782227,40.011963,-0.257812
199,1596870501893.988281,1596870501933.971191,39.982910,-0.218018
200,1596870501994.247314,1596870502034.179688,39.932373,-0.259033
201,1596870502094.547607,1596870502134.554932,40.007324,-0.300293
202,1596870502194.744873,1596870502234.661621,39.916748,-0.197266
203,1596870502294.995117,1596870502335.031738,40.036621,-0.250244
204,1596870502395.603027,1596870502435.645996,40.042969,-0.607910
205,1596870502495.967773,1596870502535.917725,39.949951,-0.364746
206,1596870502596.260254,1596870502636.179443,39.919189,-0.292480
207,1596870502696.544189,1596870502736.404785,39.860596,-0.283936
208,1596870502796.862061,1596870502836.818848,39.956787,-0.317871
209,1596870502897.245850,1596870502937.192383,39.946533,-0.383789
210,1596870502997.532471,1596870503037.513184,39.980713,-0.286621
211,1596870503097.824463,1596870503137.780518,39.956055,-0.291992
212,1596870503198.103271,1596870503237.985352,39.882080,-0.278809
213,1596870503298.370850,1596870503338.255127,39.884277,-0.267578
214,1596870503398.661621,1596870503438.531250,39.869629,-0.290771
215,1596870503498.965820,1596870503538.857178,39.891357,-0.304199
216,1596870503599.291016,1596870503639.172363,39.881348,-0.325195
217,1596870503699.578125,1596870503739.455566,39.877441,-0.287109
218,1596870503799.874023,1596870503839.772949,39.898926,-0.295898
219,1596870503900.177246,1596870503940.030518,39.853271,-0.303223
220,1596870504000.448242,1596870504040.370361,39.922119,-0.270996
221,1596870504100.761963,1596870504140.640625,39.878662,-0.313721
222,1596870504201.039795,1596870504240.939453,39.899658,-0.277832
223,1596870504301.314941,1596870504341.184814,39.869873,-0.275146
224,1596870504401.601074,1596870504441.496338,39.895264,-0.286133
225,1596870504501.904053,1596870504542.055176,40.151123,-0.302979
226,1596870504602.187012,1596870504642.115479,39.928467,-0.282959
227,1596870504702.461914,1596870504742.314453,39.852539,-0.274902
228,1596870504802.734375,1596870504842.614502,39.880127,-0.272461
229,1596870504903.017090,1596870504942.877930,39.860840,-0.282715
