Frame Count,Start Time(in ms),End Time(in ms),Execution Time(in ms),Jitter(in ms)
1,1596870475742.742432,1596870475750.936035,8.193604,-45.533936
2,1596870475896.554688,1596870475905.418213,8.863525,-45.775391
3,1596870476051.071045,1596870476059.531494,8.460449,-53.812256
4,1596870476204.863281,1596870476212.957764,8.094482,-54.516357
5,1596870476358.199463,1596870476365.829346,7.629883,-53.792236
6,1596870476511.390869,1596870476519.035156,7.644287,-53.336182
7,1596870476664.411133,1596870476672.340088,7.928955,-53.191406
8,1596870476817.636475,1596870476825.579834,7.943359,-53.020264
9,1596870476971.012451,1596870476978.616455,7.604004,-53.225342
10,1596870477123.964844,1596870477131.874023,7.909180,-53.375977
11,1596870477280.668945,1596870477288.589355,7.920410,-52.952393
12,1596870477433.917969,1596870477441.666748,7.748779,-56.704102
13,1596870477586.932861,1596870477595.006836,8.073975,-53.249023
14,1596870477740.374268,1596870477748.423340,8.049072,-53.014893
15,1596870477893.754150,1596870477901.850098,8.095947,-53.441406
16,1596870478047.233154,1596870478055.162109,7.928955,-53.379883
17,1596870478200.671143,1596870478208.397461,7.726318,-53.479004
18,1596870478353.904297,1596870478361.987549,8.083252,-53.437988
19,1596870478507.306152,1596870478515.023682,7.717529,-53.233154
20,1596870478660.458984,1596870478668.420410,7.961426,-53.401855
21,1596870478813.974121,1596870478822.018555,8.044434,-53.152832
22,1596870478967.251709,1596870479119.907959,152.656250,-53.515137
23,1596870479120.272705,1596870479128.306396,8.033691,-53.277588
24,1596870479273.686523,1596870479281.781982,8.095459,-53.020996
25,1596870479426.886719,1596870479434.741455,7.854736,-53.413818
26,1596870479580.199219,1596870479588.012207,7.812988,-53.200195
27,1596870479733.433594,1596870479741.648682,8.215088,-53.312500
28,1596870479887.000977,1596870479894.670166,7.669189,-53.234375
29,1596870480040.108643,1596870480048.333740,8.225098,-53.567383
30,1596870480193.661865,1596870480201.445068,7.783203,-53.107666
31,1596870480348.352539,1596870480356.489014,8.136475,-53.553223
32,1596870480499.535645,1596870480507.357422,7.821777,-54.690674
33,1596870480650.377686,1596870480658.448242,8.070557,-51.183105
34,1596870480801.418213,1596870480809.124512,7.706299,-50.842041
35,1596870480952.103027,1596870480959.683105,7.580078,-51.040527
36,1596870481102.660400,1596870481110.823730,8.163330,-50.684814
37,1596870481253.940430,1596870481261.768799,7.828369,-50.557373
38,1596870481404.720215,1596870481412.770508,8.050293,-51.280029
39,1596870481555.681396,1596870481563.679443,7.998047,-50.779785
40,1596870481706.653320,1596870481714.408203,7.754883,-50.961182
41,1596870481857.386963,1596870481865.370361,7.983398,-50.971924
42,1596870482008.372070,1596870482016.119141,7.747070,-50.733643
43,1596870482159.058105,1596870482166.792480,7.734375,-50.985107
44,1596870482309.730225,1596870482317.927002,8.196777,-50.686035
45,1596870482460.919922,1596870482468.535889,7.615967,-50.672119
46,1596870482611.510010,1596870482619.591309,8.081299,-51.189697
47,1596870482762.582031,1596870482770.729492,8.147461,-50.590088
48,1596870482913.761230,1596870482921.674805,7.913574,-51.072021
49,1596870483064.583008,1596870483072.267334,7.684326,-51.179199
50,1596870483215.233887,1596870483222.932861,7.698975,-50.821777
51,1596870483369.428223,1596870483377.417480,7.989258,-50.650879
52,1596870483520.385010,1596870483528.125977,7.740967,-54.194336
53,1596870483671.206055,1596870483678.816406,7.610352,-50.956787
54,1596870483821.882568,1596870483829.636719,7.754150,-50.821045
55,1596870483972.724121,1596870483980.875732,8.151611,-50.676514
56,1596870484123.784668,1596870484131.584229,7.799561,-50.841553
57,1596870484274.601074,1596870484282.466797,7.865723,-51.060547
58,1596870484425.392578,1596870484433.342529,7.949951,-50.816406
59,1596870484576.332031,1596870484584.443604,8.111572,-50.791504
60,1596870484727.386475,1596870484735.275391,7.888916,-50.939453
61,1596870484878.578857,1596870484886.817627,8.238770,-51.054443
62,1596870485030.034668,1596870485038.308594,8.273926,-51.192383
63,1596870485181.564697,1596870485189.367432,7.802734,-51.455811
64,1596870485332.496826,1596870485340.468262,7.971436,-51.530029
65,1596870485483.420410,1596870485491.221680,7.801270,-50.932129
66,1596870485634.218262,1596870485642.066406,7.848145,-50.923584
67,1596870485785.000977,1596870485792.852295,7.851318,-50.797852
68,1596870485935.915527,1596870485943.871338,7.955811,-50.782715
69,1596870486086.925293,1596870486094.793457,7.868164,-50.914551
70,1596870486237.734131,1596870486245.737549,8.003418,-51.009766
71,1596870486392.317139,1596870486400.310059,7.992920,-50.808838
72,1596870486543.415283,1596870486551.558105,8.142822,-54.583008
73,1596870486694.521973,1596870486702.835449,8.313477,-51.098145
74,1596870486845.794678,1596870486853.499023,7.704346,-51.106689
75,1596870486996.490723,1596870487004.533447,8.042725,-51.272705
76,1596870487147.592285,1596870487155.708740,8.116455,-50.696045
77,1596870487298.762939,1596870487306.589600,7.826660,-51.101562
78,1596870487449.617920,1596870487457.408691,7.790771,-51.170654
79,1596870487600.475830,1596870487608.432861,7.957031,-50.854980
80,1596870487751.442139,1596870487759.174316,7.732178,-50.857910
81,1596870487902.179443,1596870487909.762207,7.582764,-50.966309
82,1596870488052.824219,1596870488060.652344,7.828125,-50.737305
83,1596870488203.707520,1596870488211.516602,7.809082,-50.644775
84,1596870488354.491211,1596870488362.545166,8.053955,-50.883301
85,1596870488505.577881,1596870488513.534912,7.957031,-50.783691
86,1596870488656.664307,1596870488664.544678,7.880371,-51.086670
87,1596870488807.511230,1596870488815.381836,7.870605,-51.086426
88,1596870488958.445801,1596870488966.537354,8.091553,-50.846924
89,1596870489109.604492,1596870489117.592773,7.988281,-50.934570
90,1596870489260.582520,1596870489268.403076,7.820557,-51.158691
91,1596870489415.014893,1596870489423.269531,8.254639,-50.978027
92,1596870489566.346436,1596870489574.047607,7.701172,-54.432373
93,1596870489716.998047,1596870489725.077393,8.079346,-51.331543
94,1596870489868.083496,1596870489876.095703,8.012207,-50.651611
95,1596870490019.154785,1596870490027.178711,8.023926,-51.085449
96,1596870490170.177490,1596870490177.875977,7.698486,-51.071289
97,1596870490320.924805,1596870490328.817139,7.892334,-51.022705
98,1596870490471.844971,1596870490479.923096,8.078125,-50.747314
99,1596870490623.049316,1596870490631.088867,8.039551,-50.920166
100,1596870490774.110107,1596870490781.823730,7.713623,-51.204346
101,1596870490924.781250,1596870490932.719482,7.938232,-51.060791
102,1596870491075.791992,1596870491083.964111,8.172119,-50.671143
103,1596870491226.871094,1596870491234.543213,7.672119,-51.010742
104,1596870491377.522461,1596870491385.200684,7.678223,-51.079102
105,1596870491528.211914,1596870491536.002930,7.791016,-50.651367
106,1596870491679.008545,1596870491687.025635,8.017090,-50.689453
107,1596870491830.044678,1596870491838.221436,8.176758,-50.796631
108,1596870491981.223633,1596870491988.863281,7.639648,-51.036133
109,1596870492131.995850,1596870492140.056885,8.061035,-51.178955
110,1596870492283.191406,1596870492290.796631,7.605225,-50.772217
111,1596870492437.026123,1596870492444.993652,7.967529,-51.195557
112,1596870492588.068359,1596870492595.756836,7.688477,-53.834717
113,1596870492738.831543,1596870492747.112793,8.281250,-51.042236
114,1596870492890.101318,1596870493040.890625,150.789307,-50.763184
115,1596870493041.218506,1596870493048.986572,7.768066,-51.269775
116,1596870493192.017334,1596870493200.082031,8.064697,-51.117188
