Frame Count,Start Time(in ms),End Time(in ms),Execution Time(in ms),Jitter(in ms)
1,1596870475597.345703,1596870475597.430420,0.084717,-45.686523
2,1596870475751.315918,1596870475751.400635,0.084717,-45.550293
3,1596870475905.798584,1596870475905.872803,0.074219,-53.970215
4,1596870476059.908203,1596870476059.977051,0.068848,-54.482666
5,1596870476213.326172,1596870476213.407227,0.081055,-54.109619
6,1596870476366.237793,1596870476366.323730,0.085938,-53.417969
7,1596870476519.437012,1596870476519.522705,0.085693,-52.911621
8,1596870476672.746582,1596870476672.828125,0.081543,-53.199219
9,1596870476825.995850,1596870476826.080811,0.084961,-53.309570
10,1596870476979.019531,1596870476979.099365,0.079834,-53.249268
11,1596870477132.273926,1596870477132.361328,0.087402,-53.023682
12,1596870477288.997070,1596870477289.078369,0.081299,-53.254395
13,1596870477442.070557,1596870477442.151367,0.080811,-56.723145
14,1596870477595.404785,1596870477595.481934,0.077148,-53.073486
15,1596870477748.826416,1596870477748.904785,0.078369,-53.334229
16,1596870477902.244629,1596870477902.319336,0.074707,-53.421631
17,1596870478055.616455,1596870478055.700684,0.084229,-53.418213
18,1596870478208.818359,1596870478208.901123,0.082764,-53.371826
19,1596870478362.387451,1596870478362.465088,0.077637,-53.201904
20,1596870478515.439453,1596870478515.526123,0.086670,-53.569092
21,1596870478668.856934,1596870478668.939941,0.083008,-53.052002
22,1596870478822.429443,1596870478822.512695,0.083252,-53.417480
23,1596870478967.594971,1596870478967.664795,0.069824,-53.572510
24,1596870479128.760498,1596870479128.848389,0.087891,-45.165527
25,1596870479282.169434,1596870479282.254395,0.084961,-61.165527
26,1596870479435.156738,1596870479435.233887,0.077148,-53.408936
27,1596870479588.399414,1596870479588.479248,0.079834,-52.987305
28,1596870479742.057861,1596870479742.140869,0.083008,-53.242676
29,1596870479895.058838,1596870479895.135986,0.077148,-53.658447
30,1596870480048.732910,1596870480048.804932,0.072021,-53.000977
31,1596870480201.843750,1596870480201.929688,0.085938,-53.674072
32,1596870480356.882324,1596870480356.964600,0.082275,-53.110840
33,1596870480507.741943,1596870480507.826172,0.084229,-55.038574
34,1596870480658.845703,1596870480658.921387,0.075684,-50.859619
35,1596870480809.497559,1596870480809.576904,0.079346,-51.103760
36,1596870480960.058838,1596870480960.137451,0.078613,-50.651855
37,1596870481111.226807,1596870481111.312256,0.085449,-50.561279
38,1596870481262.153809,1596870481262.227051,0.073242,-51.167969
39,1596870481413.151855,1596870481413.224609,0.072754,-50.927002
40,1596870481564.072998,1596870481564.147949,0.074951,-50.998047
41,1596870481714.805664,1596870481714.893066,0.087402,-50.921143
42,1596870481865.760498,1596870481865.840088,0.079590,-50.732666
43,1596870482016.505859,1596870482016.579834,0.073975,-50.954834
44,1596870482167.182373,1596870482167.254395,0.072021,-50.745361
45,1596870482318.326172,1596870482318.401367,0.075195,-50.676514
46,1596870482468.925537,1596870482468.999268,0.073730,-51.143799
47,1596870482620.005615,1596870482620.082031,0.076416,-50.599365
48,1596870482771.150146,1596870482771.229248,0.079102,-51.080078
49,1596870482922.092773,1596870482922.174316,0.081543,-51.144531
50,1596870483072.656738,1596870483072.743408,0.086670,-50.942627
51,1596870483223.322754,1596870483223.401367,0.078613,-50.563965
52,1596870483377.814453,1596870483377.898926,0.084473,-50.666016
53,1596870483528.532959,1596870483528.612061,0.079102,-54.491699
54,1596870483679.218750,1596870483679.299316,0.080566,-50.718506
55,1596870483830.020020,1596870483830.100586,0.080566,-50.685791
56,1596870483981.242432,1596870483981.315674,0.073242,-50.801270
57,1596870484131.967285,1596870484132.037598,0.070312,-51.222412
58,1596870484282.856934,1596870484282.930908,0.073975,-50.724854
59,1596870484433.789307,1596870484433.869629,0.080322,-50.889648
60,1596870484584.852051,1596870484584.931152,0.079102,-50.932373
61,1596870484735.729492,1596870484735.808350,0.078857,-51.062744
62,1596870484887.226318,1596870484887.300049,0.073730,-50.877441
63,1596870485038.906250,1596870485038.995850,0.089600,-51.496826
64,1596870485189.816650,1596870485189.895508,0.078857,-51.679932
65,1596870485340.965820,1596870485341.043701,0.077881,-50.910400
66,1596870485491.618896,1596870485491.700928,0.082031,-51.149170
67,1596870485642.466064,1596870485642.550781,0.084717,-50.653076
68,1596870485793.318604,1596870485793.404297,0.085693,-50.847168
69,1596870485944.281250,1596870485944.360596,0.079346,-50.852539
70,1596870486095.141357,1596870486095.223145,0.081787,-50.962646
71,1596870486246.189941,1596870486246.276367,0.086426,-50.860107
72,1596870486400.768555,1596870486400.844482,0.075928,-51.048584
73,1596870486551.968262,1596870486552.047607,0.079346,-54.578613
74,1596870486703.250977,1596870486703.330078,0.079102,-51.199707
75,1596870486853.898926,1596870486853.982422,0.083496,-51.282715
76,1596870487004.925537,1596870487005.000000,0.074463,-50.647949
