Frame Count,Start Time(in ms),End Time(in ms),Execution Time(in ms),Jitter(in ms)
1,1596866274239.112305,1596866274279.371582,40.259277,-0.619873
2,1596866274339.488037,1596866274379.818359,40.330322,-0.375732
3,1596866274439.913818,1596866274480.246582,40.332764,-0.425781
4,1596866274540.179932,1596866274580.522949,40.343018,-0.266113
5,1596866274640.512207,1596866274680.847412,40.335205,-0.332275
6,1596866274740.854004,1596866274781.224609,40.370605,-0.341797
7,1596866274841.156250,1596866274881.449463,40.293213,-0.302246
8,1596866274941.666748,1596866274982.091797,40.425049,-0.510498
9,1596866275042.022461,1596866275082.273438,40.250977,-0.355713
10,1596866275142.336426,1596866275182.834229,40.497803,-0.313965
11,1596866275242.736572,1596866275283.129395,40.392822,-0.400146
12,1596866275343.206299,1596866275383.661133,40.454834,-0.469727
13,1596866275443.551514,1596866275484.040771,40.489258,-0.345215
14,1596866275543.827393,1596866275584.138184,40.310791,-0.275879
15,1596866275644.238281,1596866275684.588867,40.350586,-0.410889
16,1596866275744.569580,1596866275784.903564,40.333984,-0.331299
17,1596866275844.868164,1596866275885.285889,40.417725,-0.298584
18,1596866275945.179443,1596866275985.489990,40.310547,-0.311279
19,1596866276045.524170,1596866276085.952637,40.428467,-0.344727
20,1596866276145.867920,1596866276186.314941,40.447021,-0.343750
21,1596866276246.314453,1596866276286.615234,40.300781,-0.446533
22,1596866276346.620850,1596866276386.979004,40.358154,-0.306396
23,1596866276446.903809,1596866276487.259521,40.355713,-0.282959
24,1596866276547.226318,1596866276587.581055,40.354736,-0.322510
25,1596866276647.977295,1596866276688.395264,40.417969,-0.750977
26,1596866276748.281982,1596866276789.785156,41.503174,-0.304688
27,1596866276848.768555,1596866276889.219727,40.451172,-0.486572
28,1596866276949.103027,1596866276989.487793,40.384766,-0.334473
29,1596866277049.445557,1596866277089.792969,40.347412,-0.342529
30,1596866277149.829834,1596866277190.192871,40.363037,-0.384277
31,1596866277250.167725,1596866277290.435059,40.267334,-0.337891
32,1596866277350.489990,1596866277390.822754,40.332764,-0.322266
33,1596866277450.871094,1596866277491.217529,40.346436,-0.381104
34,1596866277551.272705,1596866277591.700195,40.427490,-0.401611
35,1596866277651.644287,1596866277692.019043,40.374756,-0.371582
36,1596866277751.979248,1596866277792.326660,40.347412,-0.334961
37,1596866277852.324219,1596866277892.794189,40.469971,-0.344971
38,1596866277952.596191,1596866277992.956055,40.359863,-0.271973
39,1596866278052.970703,1596866278093.290771,40.320068,-0.374512
40,1596866278153.292725,1596866278193.581055,40.288330,-0.322021
41,1596866278253.618652,1596866278293.951660,40.333008,-0.325928
42,1596866278354.058594,1596866278394.448486,40.389893,-0.439941
43,1596866278454.393066,1596866278494.745361,40.352295,-0.334473
44,1596866278554.800293,1596866278595.222656,40.422363,-0.407227
45,1596866278655.169922,1596866278695.449463,40.279541,-0.369629
46,1596866278755.560547,1596866278795.835693,40.275146,-0.390625
47,1596866278855.881348,1596866278896.304932,40.423584,-0.320801
48,1596866278956.175293,1596866278996.522217,40.346924,-0.293945
49,1596866279056.505371,1596866279096.857666,40.352295,-0.330078
50,1596866279156.839844,1596866279197.181885,40.342041,-0.334473
51,1596866279257.165283,1596866279297.497559,40.332275,-0.325439
52,1596866279357.849854,1596866279398.277100,40.427246,-0.684570
53,1596866279458.189209,1596866279498.588379,40.399170,-0.339355
54,1596866279558.906494,1596866279599.394287,40.487793,-0.717285
55,1596866279659.197754,1596866279699.560791,40.363037,-0.291260
56,1596866279759.507568,1596866279800.309814,40.802246,-0.309814
57,1596866279860.216553,1596866279900.587158,40.370605,-0.708984
58,1596866279960.577393,1596866280000.984375,40.406982,-0.360840
59,1596866280061.051758,1596866280101.374023,40.322266,-0.474365
60,1596866280161.638916,1596866280202.024170,40.385254,-0.587158
61,1596866280261.922119,1596866280302.238525,40.316406,-0.283203
62,1596866280362.236572,1596866280402.532959,40.296387,-0.314453
63,1596866280462.796143,1596866280503.149414,40.353271,-0.559570
64,1596866280563.135254,1596866280603.472656,40.337402,-0.339111
65,1596866280663.387695,1596866280703.552002,40.164307,-0.252441
66,1596866280763.629150,1596866280803.792969,40.163818,-0.241455
67,1596866280863.879639,1596866280904.031982,40.152344,-0.250488
68,1596866280964.128174,1596866281004.298096,40.169922,-0.248535
69,1596866281064.386719,1596866281104.527588,40.140869,-0.258545
70,1596866281164.619385,1596866281204.776855,40.157471,-0.232666
71,1596866281264.894043,1596866281305.097656,40.203613,-0.274658
72,1596866281365.182861,1596866281405.354248,40.171387,-0.288818
73,1596866281465.460205,1596866281505.652100,40.191895,-0.277344
74,1596866281565.742432,1596866281605.962158,40.219727,-0.282227
75,1596866281666.032227,1596866281706.251953,40.219727,-0.289795
76,1596866281766.311768,1596866281806.481689,40.169922,-0.279541
77,1596866281866.581299,1596866281906.755127,40.173828,-0.269531
78,1596866281966.880859,1596866282007.012695,40.131836,-0.299561
79,1596866282067.153809,1596866282107.314209,40.160400,-0.272949
80,1596866282167.417236,1596866282207.562500,40.145264,-0.263428
81,1596866282267.690186,1596866282307.854004,40.163818,-0.272949
82,1596866282367.946777,1596866282408.109863,40.163086,-0.256592
83,1596866282468.208740,1596866282508.371582,40.162842,-0.261963
84,1596866282568.471436,1596866282608.625000,40.153564,-0.262695
85,1596866282668.730957,1596866282708.865234,40.134277,-0.259521
86,1596866282769.149170,1596866282810.995605,41.846436,-0.418213
87,1596866282869.410400,1596866282909.619141,40.208740,-0.261230
88,1596866282969.676514,1596866283009.819092,40.142578,-0.266113
89,1596866283069.916504,1596866283110.078857,40.162354,-0.239990
90,1596866283170.162109,1596866283210.319580,40.157471,-0.245605
91,1596866283270.391602,1596866283310.566406,40.174805,-0.229492
92,1596866283370.623535,1596866283410.761475,40.137939,-0.231934
93,1596866283470.868652,1596866283511.049316,40.180664,-0.245117
94,1596866283571.100098,1596866283611.280273,40.180176,-0.231445
95,1596866283671.333740,1596866283711.496094,40.162354,-0.233643
96,1596866283771.569092,1596866283811.721924,40.152832,-0.235352
97,1596866283871.796875,1596866283911.935059,40.138184,-0.227783
98,1596866283972.031006,1596866284012.190674,40.159668,-0.234131
99,1596866284072.249268,1596866284112.361084,40.111816,-0.218262
100,1596866284172.489258,1596866284212.653564,40.164307,-0.239990
101,1596866284272.736572,1596866284312.885986,40.149414,-0.247314
102,1596866284372.967773,1596866284413.098877,40.131104,-0.231201
103,1596866284473.195801,1596866284513.345215,40.149414,-0.228027
104,1596866284573.435791,1596866284613.577881,40.142090,-0.239990
105,1596866284673.670898,1596866284713.810059,40.139160,-0.235107
106,1596866284773.909668,1596866284814.061768,40.152100,-0.238770
107,1596866284874.170166,1596866284914.290039,40.119873,-0.260498
108,1596866284974.424316,1596866285014.561523,40.137207,-0.254150
109,1596866285074.685059,1596866285114.804199,40.119141,-0.260742
110,1596866285174.934082,1596866285215.072754,40.138672,-0.249023
111,1596866285275.205566,1596866285315.353027,40.147461,-0.271484
112,1596866285375.464355,1596866285415.612305,40.147949,-0.258789
113,1596866285475.715088,1596866285515.844482,40.129395,-0.250732
114,1596866285575.990967,1596866285616.148926,40.157959,-0.275879
