Frame Count,Start Time(in ms),End Time(in ms),Execution Time(in ms),Jitter(in ms)
1,1596867667824.114502,1596867667828.423584,4.309082,-5.264893
2,1596867668800.333496,1596867668804.759766,4.426270,-9.902100
3,1596867669829.498291,1596867669837.269043,7.770752,23.781006
4,1596867670815.685547,1596867670819.987549,4.302002,-29.164795
5,1596867671821.039795,1596867671825.413330,4.373535,13.812744
6,1596867672786.857666,1596867672791.470459,4.612793,-5.354248
7,1596867673799.109131,1596867673803.448242,4.339111,34.182129
8,1596867674806.775879,1596867674811.242676,4.466797,-12.251465
9,1596867675759.585938,1596867675764.055664,4.469727,-7.666748
10,1596867676818.079590,1596867676822.726562,4.646973,47.189941
11,1596867677790.531494,1596867677794.653809,4.122314,-58.493652
12,1596867678803.274414,1596867678807.754883,4.480469,27.548096
13,1596867679833.270508,1596867679841.209961,7.939453,-12.742920
14,1596867680832.842041,1596867680837.557861,4.715820,-29.996094
15,1596867681807.964844,1596867681812.128418,4.163574,0.428467
16,1596867682815.708252,1596867682828.366455,12.658203,24.877197
17,1596867683833.064697,1596867683837.252686,4.187988,-7.743408
18,1596867684803.509521,1596867684807.852783,4.343262,-17.356445
19,1596867685818.798340,1596867685824.880615,6.082275,29.555176
20,1596867686827.634033,1596867686832.416504,4.782471,-15.288818
21,1596867687836.423096,1596867687848.318848,11.895752,-8.835693
22,1596867688804.354736,1596867688808.710449,4.355713,-8.789062
23,1596867689837.244629,1596867689845.401123,8.156494,32.068359
24,1596867690827.467285,1596867690832.295654,4.828369,-32.889893
25,1596867691838.007812,1596867691844.476074,6.468262,9.777344
26,1596867692798.719971,1596867692803.350342,4.630371,-10.540527
27,1596867693805.322021,1596867693809.747803,4.425781,39.287842
28,1596867694811.791260,1596867694816.062744,4.271484,-6.602051
29,1596867695820.774902,1596867695825.914795,5.139893,-6.469238
30,1596867696840.059814,1596867696847.628662,7.568848,-8.983643
31,1596867697802.704102,1596867697806.797363,4.093262,-19.284912
32,1596867698810.242676,1596867698814.510742,4.268066,37.355713
33,1596867699823.942383,1596867699829.600342,5.657959,-7.538574
34,1596867700830.615479,1596867700835.355957,4.740479,-13.699707
35,1596867701839.421143,1596867701844.123291,4.702148,-6.673096
36,1596867702799.776367,1596867702804.007568,4.231201,-8.805664
37,1596867703809.912354,1596867703814.010498,4.098145,39.644775
38,1596867704818.573486,1596867704822.824951,4.251465,-10.135986
39,1596867705823.831055,1596867705829.238770,5.407715,-8.661133
40,1596867706836.784180,1596867706841.554199,4.770020,-5.257568
41,1596867707842.071777,1596867707849.992432,7.920654,-12.953125
42,1596867708812.039551,1596867708816.220459,4.180908,-5.287598
43,1596867709842.899414,1596867709851.044434,8.145020,30.032227
44,1596867710843.342285,1596867710851.283691,7.941406,-30.859863
45,1596867711817.712158,1596867711821.877930,4.165771,-0.442871
46,1596867712838.040771,1596867712842.876709,4.835938,25.630127
47,1596867713805.415527,1596867713809.572998,4.157471,-20.328613
48,1596867714809.601807,1596867714813.988770,4.386963,32.625244
49,1596867715823.770752,1596867715828.098877,4.328125,-4.186279
50,1596867716833.856445,1596867716838.595459,4.739014,-14.168945
51,1596867717843.983643,1596867717848.648926,4.665283,-10.085693
52,1596867718807.096680,1596867718811.316895,4.220215,-10.127197
53,1596867719821.646484,1596867719826.075439,4.428955,36.886963
54,1596867720847.382324,1596867720855.078857,7.696533,-14.549805
55,1596867721834.855469,1596867721839.659180,4.803711,-25.735840
56,1596867722841.062988,1596867722845.639893,4.576904,12.526855
57,1596867723848.712402,1596867723856.440918,7.728516,-6.207520
58,1596867724810.412598,1596867724814.741211,4.328613,-7.649414
59,1596867725815.728760,1596867725820.107910,4.379150,38.299805
60,1596867726824.335693,1596867726828.468750,4.133057,-5.316162
61,1596867727846.129395,1596867727851.110352,4.980957,-8.606934
62,1596867728850.853027,1596867728855.995117,5.142090,-21.793701
63,1596867729822.202148,1596867729826.246094,4.043945,-4.723633
64,1596867730851.619629,1596867730859.403076,7.783447,28.650879
65,1596867731841.933105,1596867731846.399414,4.466309,-29.417480
66,1596867732852.092041,1596867732860.021484,7.929443,9.686523
67,1596867733827.315430,1596867733856.557861,29.242432,-10.158936
68,1596867734837.598877,1596867734843.561035,5.962158,24.776611
69,1596867735847.810547,1596867735852.587891,4.777344,-10.283447
70,1596867736854.133057,1596867736862.054688,7.921631,-10.211670
71,1596867737828.066650,1596867737832.223877,4.157227,-6.322510
72,1596867738848.300293,1596867738852.941895,4.641602,26.066406
73,1596867739822.382568,1596867739826.544678,4.162109,-20.233643
74,1596867740830.131592,1596867740834.553711,4.422119,25.917725
75,1596867741847.250244,1596867741852.093018,4.842773,-7.749023
76,1596867742854.214600,1596867742858.667969,4.453369,-17.118652
77,1596867743819.888428,1596867743824.291260,4.402832,-6.964355
78,1596867744829.751709,1596867744833.913818,4.162109,34.326172
79,1596867745857.841309,1596867745865.836670,7.995361,-9.863281
80,1596867746846.584961,1596867746852.330811,5.745850,-28.089600
81,1596867747855.179443,1596867747860.047119,4.867676,11.256348
82,1596867748818.944580,1596867748823.047119,4.102539,-8.594482
83,1596867749831.638428,1596867749836.004639,4.366211,36.234863
84,1596867750850.826416,1596867750855.435791,4.609375,-12.693848
85,1596867751860.117676,1596867751865.377197,5.259521,-19.187988
86,1596867752828.744629,1596867752833.107178,4.362549,-9.291260
87,1596867753831.391113,1596867753835.619629,4.228516,31.373047
88,1596867754846.341553,1596867754851.992920,5.651367,-2.646484
89,1596867755857.894775,1596867756145.795166,287.900391,-14.950439
90,1596867756862.227295,1596867756868.081299,5.854004,-11.553223
91,1596867757824.512207,1596867757828.791992,4.279785,-4.332520
92,1596867758835.246582,1596867758839.687988,4.441406,37.715088
93,1596867759850.823486,1596867759855.371338,4.547852,-10.734375
94,1596867760857.571289,1596867760861.998779,4.427490,-15.576904
95,1596867761863.122314,1596867761867.876953,4.754639,-6.747803
96,1596867762831.718506,1596867762835.794678,4.076172,-5.551025
97,1596867763842.336182,1596867763846.854980,4.518799,31.403809
98,1596867764851.644287,1596867764855.989502,4.345215,-10.617676
99,1596867765863.825439,1596867765868.481934,4.656494,-9.308105
100,1596867766826.877686,1596867766831.428711,4.551025,-12.181152
101,1596867767843.983154,1596867767848.414062,4.430908,36.947754
102,1596867768860.070312,1596867768864.690186,4.619873,-17.105469
103,1596867769867.372314,1596867769885.184814,17.812500,-16.087158
104,1596867770836.824463,1596867770841.312256,4.487793,-7.302002
105,1596867771853.316650,1596867771859.089355,5.772705,30.547852
106,1596867772826.953857,1596867772831.148193,4.194336,-16.492188
107,1596867773838.593506,1596867773842.758057,4.164551,26.362793
108,1596867774850.676514,1596867774855.638672,4.962158,-11.639648
109,1596867775870.040771,1596867775878.389404,8.348633,-12.083008
110,1596867776869.047363,1596867776873.546875,4.499512,-19.364258
111,1596867777870.471191,1596867777878.480225,8.009033,0.993408
112,1596867778834.827637,1596867778839.112549,4.284912,-1.423828
113,1596867779847.550049,1596867779851.765381,4.215332,35.643555
114,1596867780855.770020,1596867780861.401611,5.631592,-12.722412
115,1596867781869.166260,1596867781873.649170,4.482910,-8.219971
116,1596867782829.334961,1596867782833.551270,4.216309,-13.396240
117,1596867783851.701172,1596867783855.776611,4.075439,39.831299
118,1596867784864.694336,1596867784869.382812,4.688477,-22.366211
119,1596867785873.898193,1596867785881.902832,8.004639,-12.993164
120,1596867786834.393555,1596867786838.531982,4.138428,-9.203857
121,1596867787840.418701,1596867787844.589111,4.170410,39.504639
122,1596867788852.284424,1596867788856.459717,4.175293,-6.025146
123,1596867789861.693115,1596867789866.820312,5.127197,-11.865723
124,1596867790873.852539,1596867790878.291748,4.439209,-9.408691
125,1596867791876.568604,1596867791885.504639,8.936035,-12.159424
126,1596867792846.215088,1596867792850.419922,4.204834,-2.716064
127,1596867793859.585693,1596867793864.194092,4.608398,30.353516
128,1596867794877.640869,1596867794883.882812,6.241943,-13.370605
129,1596867795840.392578,1596867795844.796387,4.403809,-18.055176
130,1596867796851.728027,1596867796856.107422,4.379395,37.248291
131,1596867797869.830811,1596867797874.648682,4.817871,-11.335449
132,1596867798835.641113,1596867798839.844727,4.203613,-18.102783
133,1596867799844.147461,1596867799848.468018,4.320557,34.189697
134,1596867800850.493652,1596867800855.072998,4.579346,-8.506348
135,1596867801880.638672,1596867801888.702393,8.063721,-6.346191
136,1596867802866.434082,1596867802871.679199,5.245117,-30.145020
137,1596867803876.586670,1596867803881.551514,4.964844,14.204590
138,1596867804843.903809,1596867804848.208740,4.304932,-10.152588
139,1596867805882.181396,1596867805896.656006,14.474609,32.682861
140,1596867806882.254883,1596867806886.554443,4.299561,-38.277588
141,1596867807842.302979,1596867807846.697021,4.394043,-0.073486
142,1596867808857.314209,1596867808861.781738,4.467529,39.951904
143,1596867809876.660400,1596867809881.296143,4.635742,-15.011230
144,1596867810884.230225,1596867810896.095703,11.865479,-19.346191
145,1596867811847.177490,1596867811851.469482,4.291992,-7.569824
146,1596867812853.514893,1596867812857.897949,4.383057,37.052734
147,1596867813860.256836,1596867813864.433105,4.176270,-6.337402
148,1596867814876.936279,1596867814881.480713,4.544434,-6.741943
149,1596867815886.157959,1596867815898.240479,12.082520,-16.679443
150,1596867816844.579590,1596867816849.595703,5.016113,-9.221680
151,1596867817858.535889,1596867817862.898682,4.362793,41.578369
152,1596867818869.601318,1596867818874.984619,5.383301,-13.956299
153,1596867819879.952393,1596867819884.779785,4.827393,-11.065430
154,1596867820845.337158,1596867820849.548096,4.210938,-10.351074
155,1596867821858.948730,1596867821863.435791,4.487061,34.615234
156,1596867822889.093750,1596867822897.110352,8.016602,-13.611572
157,1596867823889.256104,1596867823894.802979,5.546875,-30.145020
158,1596867824845.803711,1596867824850.229248,4.425537,-0.162354
159,1596867825859.727295,1596867825863.941895,4.214600,43.452393
160,1596867826881.195801,1596867826885.920898,4.725098,-13.923584
161,1596867827847.083252,1596867827851.481445,4.398193,-21.468506
162,1596867828866.647217,1596867828871.163574,4.516357,34.112549
