Frame Count,Start Time(in ms),End Time(in ms),Execution Time(in ms),Jitter(in ms)
1,1596866274238.541016,1596866274238.804932,0.263916,-0.290527
2,1596866274339.152344,1596866274339.326660,0.174316,-0.302979
3,1596866274439.547852,1596866274439.776611,0.228760,-0.611328
4,1596866274539.924561,1596866274540.049072,0.124512,-0.395508
5,1596866274640.211182,1596866274640.366943,0.155762,-0.376709
6,1596866274740.547119,1596866274740.699463,0.152344,-0.286621
7,1596866274840.882080,1596866274841.012207,0.130127,-0.335938
8,1596866274941.206055,1596866274941.416016,0.209961,-0.334961
9,1596866275041.714355,1596866275041.867432,0.153076,-0.323975
10,1596866275142.052979,1596866275142.186768,0.133789,-0.508301
11,1596866275242.375000,1596866275242.518066,0.143066,-0.338623
12,1596866275342.763916,1596866275342.996338,0.232422,-0.322021
13,1596866275443.221436,1596866275443.385254,0.163818,-0.388916
14,1596866275543.554932,1596866275543.689941,0.135010,-0.457520
15,1596866275643.894287,1596866275644.101562,0.207275,-0.333496
16,1596866275744.280762,1596866275744.419434,0.138672,-0.339355
17,1596866275844.590820,1596866275844.725342,0.134521,-0.386475
18,1596866275944.889893,1596866275945.024658,0.134766,-0.310059
19,1596866276045.215332,1596866276045.357910,0.142578,-0.299072
20,1596866276145.576660,1596866276145.712158,0.135498,-0.325439
21,1596866276245.923828,1596866276246.127197,0.203369,-0.361328
22,1596866276346.329346,1596866276346.461914,0.132568,-0.347168
23,1596866276446.635986,1596866276446.750000,0.114014,-0.405518
24,1596866276546.935303,1596866276547.073242,0.137939,-0.306641
25,1596866276647.329834,1596866276647.638428,0.308594,-0.299316
26,1596866276747.979492,1596866276748.125244,0.145752,-0.394531
27,1596866276848.355225,1596866276848.580322,0.225098,-0.649658
28,1596866276948.796631,1596866276948.954346,0.157715,-0.375732
29,1596866277049.139160,1596866277049.291016,0.151855,-0.441406
30,1596866277149.503662,1596866277149.660400,0.156738,-0.342529
31,1596866277249.864014,1596866277250.019043,0.155029,-0.364502
32,1596866277350.195312,1596866277350.340088,0.144775,-0.360352
33,1596866277450.528076,1596866277450.695312,0.167236,-0.331299
34,1596866277550.927490,1596866277551.092773,0.165283,-0.332764
35,1596866277651.296631,1596866277651.472412,0.175781,-0.399414
36,1596866277751.665283,1596866277751.815186,0.149902,-0.369141
37,1596866277852.020264,1596866277852.169434,0.149170,-0.368652
38,1596866277952.345215,1596866277952.463623,0.118408,-0.354980
39,1596866278052.693115,1596866278052.824707,0.131592,-0.324951
40,1596866278152.994629,1596866278153.133057,0.138428,-0.347900
41,1596866278253.315430,1596866278253.454346,0.138916,-0.301514
42,1596866278353.682617,1596866278353.893066,0.210449,-0.320801
43,1596866278454.104736,1596866278454.242432,0.137695,-0.367188
44,1596866278554.428955,1596866278554.611572,0.182617,-0.422119
45,1596866278654.854492,1596866278655.010986,0.156494,-0.324219
46,1596866278755.282471,1596866278755.419189,0.136719,-0.425537
47,1596866278855.589600,1596866278855.711670,0.122070,-0.427979
48,1596866278955.896729,1596866278956.030518,0.133789,-0.307129
49,1596866279056.202637,1596866279056.333252,0.130615,-0.307129
50,1596866279156.525146,1596866279156.675049,0.149902,-0.305908
51,1596866279256.866211,1596866279257.002930,0.136719,-0.322510
52,1596866279357.277588,1596866279357.535889,0.258301,-0.341064
53,1596866279457.872559,1596866279458.034912,0.162354,-0.411377
54,1596866279558.277588,1596866279558.567139,0.289551,-0.594971
55,1596866279658.905029,1596866279659.049072,0.144043,-0.405029
56,1596866279759.242676,1596866279759.369385,0.126709,-0.627441
57,1596866279859.647217,1596866279859.958252,0.311035,-0.337646
58,1596866279960.243408,1596866279960.407715,0.164307,-0.404541
59,1596866280060.627441,1596866280060.876709,0.249268,-0.596191
60,1596866280161.143799,1596866280161.372559,0.228760,-0.384033
61,1596866280261.639893,1596866280261.772949,0.133057,-0.516357
62,1596866280361.957031,1596866280362.094482,0.137451,-0.496094
63,1596866280462.284912,1596866280462.428711,0.143799,-0.317139
64,1596866280562.811279,1596866280562.974365,0.163086,-0.327881
65,1596866280663.144531,1596866280663.255371,0.110840,-0.526367
66,1596866280763.399170,1596866280763.506836,0.107666,-0.333252
67,1596866280863.642090,1596866280863.749512,0.107422,-0.254639
68,1596866280963.891602,1596866280963.998047,0.106445,-0.242920
69,1596866281064.141846,1596866281064.258301,0.116455,-0.249512
70,1596866281164.403076,1596866281164.502441,0.099365,-0.250244
71,1596866281264.641113,1596866281264.754639,0.113525,-0.261230
72,1596866281364.921875,1596866281365.037598,0.115723,-0.238037
73,1596866281465.208496,1596866281465.326172,0.117676,-0.280762
74,1596866281565.487793,1596866281565.603760,0.115967,-0.286621
75,1596866281665.769531,1596866281665.884277,0.114746,-0.279297
76,1596866281766.059570,1596866281766.175293,0.115723,-0.281738
77,1596866281866.340576,1596866281866.452148,0.111572,-0.290039
78,1596866281966.616211,1596866281966.734131,0.117920,-0.281006
79,1596866282066.892334,1596866282067.017578,0.125244,-0.275635
80,1596866282167.168457,1596866282167.283447,0.114990,-0.276123
81,1596866282267.431152,1596866282267.550781,0.119629,-0.276123
82,1596866282367.700684,1596866282367.813232,0.112549,-0.262695
83,1596866282467.957764,1596866282468.068359,0.110596,-0.269531
84,1596866282568.219727,1596866282568.333984,0.114258,-0.257080
85,1596866282668.482910,1596866282668.594482,0.111572,-0.261963
86,1596866282768.796387,1596866282768.971191,0.174805,-0.263184
87,1596866282869.151611,1596866282869.268799,0.117188,-0.313477
88,1596866282969.423828,1596866282969.527100,0.103271,-0.355225
89,1596866283069.690918,1596866283069.796631,0.105713,-0.272217
90,1596866283169.938232,1596866283170.042725,0.104492,-0.267090
91,1596866283270.177734,1596866283270.274902,0.097168,-0.247314
92,1596866283370.403809,1596866283370.506348,0.102539,-0.239502
93,1596866283470.636475,1596866283470.747803,0.111328,-0.226074
94,1596866283570.884033,1596866283570.982910,0.098877,-0.232666
95,1596866283671.114746,1596866283671.217285,0.102539,-0.247559
96,1596866283771.349609,1596866283771.447266,0.097656,-0.230713
97,1596866283871.583496,1596866283871.682861,0.099365,-0.234863
98,1596866283971.813477,1596866283971.912598,0.099121,-0.233887
99,1596866284072.037598,1596866284072.135254,0.097656,-0.229980
100,1596866284172.267334,1596866284172.370361,0.103027,-0.224121
101,1596866284272.500000,1596866284272.621582,0.121582,-0.229736
102,1596866284372.750000,1596866284372.850098,0.100098,-0.232666
103,1596866284472.979736,1596866284473.080078,0.100342,-0.250000
104,1596866284573.208008,1596866284573.308594,0.100586,-0.229736
105,1596866284673.447754,1596866284673.551025,0.103271,-0.228271
106,1596866284773.688477,1596866284773.788086,0.099609,-0.239746
107,1596866284873.921631,1596866284874.036621,0.114990,-0.240723
108,1596866284974.184082,1596866284974.295898,0.111816,-0.233154
109,1596866285074.437744,1596866285074.552002,0.114258,-0.262451
110,1596866285174.694092,1596866285174.806885,0.112793,-0.253662
111,1596866285274.947266,1596866285275.061523,0.114258,-0.256348
112,1596866285375.219238,1596866285375.329834,0.110596,-0.253174
113,1596866285475.473633,1596866285475.584717,0.111084,-0.271973
114,1596866285575.727295,1596866285575.847168,0.119873,-0.254395
115,1596866285676.003418,1596866285676.123779,0.120361,-0.253662
116,1596866285776.274414,1596866285776.386230,0.111816,-0.276123
117,1596866285876.537354,1596866285876.650879,0.113525,-0.270996
118,1596866285976.798828,1596866285976.912598,0.113770,-0.262939
119,1596866286077.063721,1596866286077.177246,0.113525,-0.261475
120,1596866286177.329102,1596866286177.439697,0.110596,-0.264893
121,1596866286277.592285,1596866286277.702881,0.110596,-0.265381
122,1596866286377.860352,1596866286377.974854,0.114502,-0.263184
123,1596866286478.129395,1596866286478.243652,0.114258,-0.268066
124,1596866286578.399414,1596866286578.509033,0.109619,-0.269043
125,1596866286678.665527,1596866286678.779541,0.114014,-0.270020
126,1596866286778.937500,1596866286779.035156,0.097656,-0.266113
127,1596866286879.174072,1596866286879.242432,0.068359,-0.271973
128,1596866291773.218506,1596866291773.366211,0.147705,-0.236572
129,1596866291873.573486,1596866291873.713867,0.140381,-4794.044434
130,1596866291973.912842,1596866291974.051025,0.138184,-0.354980
131,1596866292074.251465,1596866292074.414062,0.162598,-0.339355
132,1596866292174.634766,1596866292174.888916,0.254150,-0.338623
133,1596866292275.126953,1596866292275.272949,0.145996,-0.383301
134,1596866292375.449951,1596866292375.586914,0.136963,-0.492188
135,1596866292475.784668,1596866292475.964355,0.179688,-0.322998
136,1596866292576.190430,1596866292576.433838,0.243408,-0.334717
137,1596866292676.668945,1596866292676.791504,0.122559,-0.405762
138,1596866292776.976074,1596866292777.113281,0.137207,-0.478516
139,1596866292877.310547,1596866292877.441895,0.131348,-0.307129
140,1596866292977.658691,1596866292977.879150,0.220459,-0.334473
141,1596866293078.110840,1596866293078.455078,0.344238,-0.348145
142,1596866293178.847656,1596866293178.982422,0.134766,-0.452148
143,1596866293279.183350,1596866293279.354736,0.171387,-0.736816
144,1596866293379.536865,1596866293379.679199,0.142334,-0.335693
145,1596866293479.883301,1596866293480.029785,0.146484,-0.353516
146,1596866293580.209473,1596866293580.381836,0.172363,-0.346436
147,1596866293680.582764,1596866293680.742188,0.159424,-0.326172
148,1596866293780.939941,1596866293781.133057,0.193115,-0.373291
149,1596866293881.369141,1596866293881.507568,0.138428,-0.357178
150,1596866293981.718018,1596866293981.949951,0.231934,-0.429199
151,1596866294082.223389,1596866294082.542236,0.318848,-0.348877
152,1596866294182.897461,1596866294183.041016,0.143555,-0.505371
153,1596866294283.224121,1596866294283.379883,0.155762,-0.674072
154,1596866294383.542236,1596866294383.674561,0.132324,-0.326660
